REF_DATE,GEO,unemployment_rate
2020-04,Alberta,14.3
2020-04,Alberta,0.5
2020-04,Alberta,0.5
2020-04,Alberta,0.7
2020-04,Alberta,13.5
2020-04,Alberta,14.5
2020-04,Alberta,0.5
2020-04,Alberta,0.5
2020-04,Alberta,0.7
2020-04,Alberta,23.4
2020-04,Alberta,24.1
2020-04,Alberta,2.0
2020-04,Alberta,1.9
2020-04,Alberta,2.7
2020-04,Alberta,39.1
2020-04,Alberta,17.8
2020-04,Alberta,11.1
2020-04,Alberta,13.1
2020-04,Alberta,0.5
2020-04,Alberta,0.5
2020-04,Alberta,0.7
2020-04,Alberta,10.6
2020-04,Alberta,12.8
2020-04,Alberta,0.6
2020-04,Alberta,0.6
2020-04,Alberta,0.8
2020-04,Alberta,12.7
2020-04,Alberta,14.0
2020-04,Alberta,1.2
2020-04,Alberta,1.1
2020-04,Alberta,1.6
2020-04,Alberta,13.9
2020-04,Alberta,13.4
2020-04,Alberta,0.5
2020-04,Alberta,0.5
2020-04,Alberta,0.7
2020-04,Alberta,14.2
2020-04,Alberta,13.8
2020-04,Alberta,0.5
2020-04,Alberta,0.5
2020-04,Alberta,0.7
2020-04,Alberta,31.2
2020-04,Alberta,31.9
2020-04,Alberta,1.7
2020-04,Alberta,1.8
2020-04,Alberta,2.3
2020-04,Alberta,43.0
2020-04,Alberta,24.5
2020-04,Alberta,11.7
2020-04,Alberta,11.2
2020-04,Alberta,0.5
2020-04,Alberta,0.5
2020-04,Alberta,0.7
2020-04,Alberta,12.4
2020-04,Alberta,12.0
2020-04,Alberta,0.6
2020-04,Alberta,0.6
2020-04,Alberta,0.8
2020-04,Alberta,8.8
2020-04,Alberta,8.3
2020-04,Alberta,1.1
2020-04,Alberta,1.0
2020-04,Alberta,1.6
2020-05,Alberta,15.4
2020-05,Alberta,15.8
2020-05,Alberta,0.4
2020-05,Alberta,0.3
2020-05,Alberta,0.5
2020-05,Alberta,15.6
2020-05,Alberta,16.2
2020-05,Alberta,0.4
2020-05,Alberta,0.4
2020-05,Alberta,0.5
2020-05,Alberta,32.2
2020-05,Alberta,34.8
2020-05,Alberta,1.3
2020-05,Alberta,1.3
2020-05,Alberta,1.8
2020-05,Alberta,43.4
2020-05,Alberta,30.3
2020-05,Alberta,13.1
2020-05,Alberta,13.0
2020-05,Alberta,0.4
2020-05,Alberta,0.3
2020-05,Alberta,0.5
2020-05,Alberta,13.5
2020-05,Alberta,13.4
2020-05,Alberta,0.4
2020-05,Alberta,0.4
2020-05,Alberta,0.6
2020-05,Alberta,11.6
2020-05,Alberta,11.5
2020-05,Alberta,0.9
2020-05,Alberta,0.8
2020-05,Alberta,1.1
2020-05,Alberta,15.6
2020-05,Alberta,15.8
2020-05,Alberta,0.5
2020-05,Alberta,0.5
2020-05,Alberta,0.7
2020-05,Alberta,14.8
2020-05,Alberta,16.1
2020-05,Alberta,0.5
2020-05,Alberta,0.5
2020-05,Alberta,0.7
2020-05,Alberta,30.7
2020-05,Alberta,30.8
2020-05,Alberta,2.0
2020-05,Alberta,1.9
2020-05,Alberta,2.7
2020-05,Alberta,38.5
2020-05,Alberta,26.8
2020-05,Alberta,13.4
2020-05,Alberta,13.5
2020-05,Alberta,0.5
2020-05,Alberta,0.5
2020-05,Alberta,0.7
2020-05,Alberta,13.8
2020-05,Alberta,14.0
2020-05,Alberta,0.6
2020-05,Alberta,0.6
2020-05,Alberta,0.8
2020-05,Alberta,12.0
2020-05,Alberta,12.1
2020-05,Alberta,1.2
2020-05,Alberta,1.1
2020-05,Alberta,1.6
2020-05,Alberta,15.2
2020-05,Alberta,15.9
2020-05,Alberta,0.5
2020-05,Alberta,0.5
2020-05,Alberta,0.7
2020-05,Alberta,16.5
2020-05,Alberta,16.2
2020-05,Alberta,0.5
2020-05,Alberta,0.5
2020-05,Alberta,0.7
2020-05,Alberta,34.1
2020-05,Alberta,39.8
2020-05,Alberta,1.7
2020-05,Alberta,1.8
2020-05,Alberta,2.3
2020-05,Alberta,49.4
2020-05,Alberta,34.6
2020-05,Alberta,12.7
2020-05,Alberta,12.2
2020-05,Alberta,0.5
2020-05,Alberta,0.5
2020-05,Alberta,0.7
2020-05,Alberta,13.1
2020-05,Alberta,12.7
2020-05,Alberta,0.6
2020-05,Alberta,0.6
2020-05,Alberta,0.8
2020-05,Alberta,11.0
2020-05,Alberta,10.5
2020-05,Alberta,1.1
2020-05,Alberta,1.0
2020-05,Alberta,1.6
2020-06,Alberta,15.3
2020-06,Alberta,14.4
2020-06,Alberta,0.4
2020-06,Alberta,0.3
2020-06,Alberta,0.5
2020-06,Alberta,15.1
2020-06,Alberta,14.6
2020-06,Alberta,0.4
2020-06,Alberta,0.4
2020-06,Alberta,0.5
2020-06,Alberta,32.9
2020-06,Alberta,30.3
2020-06,Alberta,1.3
2020-06,Alberta,1.3
2020-06,Alberta,1.8
2020-06,Alberta,38.9
2020-06,Alberta,25.2
2020-06,Alberta,12.5
2020-06,Alberta,11.7
2020-06,Alberta,0.4
2020-06,Alberta,0.3
2020-06,Alberta,0.5
2020-06,Alberta,11.8
2020-06,Alberta,11.1
2020-06,Alberta,0.4
2020-06,Alberta,0.4
2020-06,Alberta,0.6
2020-06,Alberta,15.1
2020-06,Alberta,13.9
2020-06,Alberta,0.9
2020-06,Alberta,0.8
2020-06,Alberta,1.1
2020-06,Alberta,15.7
2020-06,Alberta,14.7
2020-06,Alberta,0.5
2020-06,Alberta,0.5
2020-06,Alberta,0.7
2020-06,Alberta,15.5
2020-06,Alberta,14.9
2020-06,Alberta,0.5
2020-06,Alberta,0.5
2020-06,Alberta,0.7
2020-06,Alberta,28.4
2020-06,Alberta,26.6
2020-06,Alberta,2.0
2020-06,Alberta,1.9
2020-06,Alberta,2.7
2020-06,Alberta,35.6
2020-06,Alberta,21.4
2020-06,Alberta,13.8
2020-06,Alberta,12.8
2020-06,Alberta,0.5
2020-06,Alberta,0.5
2020-06,Alberta,0.7
2020-06,Alberta,13.3
2020-06,Alberta,12.2
2020-06,Alberta,0.6
2020-06,Alberta,0.6
2020-06,Alberta,0.8
2020-06,Alberta,15.4
2020-06,Alberta,14.6
2020-06,Alberta,1.2
2020-06,Alberta,1.1
2020-06,Alberta,1.6
2020-06,Alberta,15.0
2020-06,Alberta,14.1
2020-06,Alberta,0.5
2020-06,Alberta,0.5
2020-06,Alberta,0.7
2020-06,Alberta,14.6
2020-06,Alberta,14.3
2020-06,Alberta,0.5
2020-06,Alberta,0.5
2020-06,Alberta,0.7
2020-06,Alberta,37.6
2020-06,Alberta,34.4
2020-06,Alberta,1.7
2020-06,Alberta,1.8
2020-06,Alberta,2.3
2020-06,Alberta,42.3
2020-06,Alberta,29.4
2020-06,Alberta,10.9
2020-06,Alberta,10.3
2020-06,Alberta,0.5
2020-06,Alberta,0.5
2020-06,Alberta,0.7
2020-06,Alberta,10.0
2020-06,Alberta,9.7
2020-06,Alberta,0.6
2020-06,Alberta,0.6
2020-06,Alberta,0.8
2020-06,Alberta,14.6
2020-06,Alberta,12.8
2020-06,Alberta,1.1
2020-06,Alberta,1.0
2020-06,Alberta,1.6
2020-07,Alberta,12.9
2020-07,Alberta,13.0
2020-07,Alberta,0.4
2020-07,Alberta,0.5
